,director_count,avg_rating,number_of_movies,tconst_list
0,3,7.597500000000001,40,"['tt0031381', 'tt0301727', 'tt0401792', 'tt0875113', 'tt1352852', 'tt0056264', 'tt0064437', 'tt0976060', 'tt1859438', 'tt2375605', 'tt7518786', 'tt1754109', 'tt2380247', 'tt6714534', 'tt0025862', 'tt0062453', 'tt0064921', 'tt1691152', 'tt0037514', 'tt0048380', 'tt0080339', 'tt0088286', 'tt2458776', 'tt3784160', 'tt6148156', 'tt8239946', 'tt0020960', 'tt0065780', 'tt7937168', 'tt0029606', 'tt0103905', 'tt0478209', 'tt1371111', 'tt0102015', 'tt0428870', 'tt10322274', 'tt1268204', 'tt2667550', 'tt3270538', 'tt0035015']"
1,2,7.539759036144574,332,"['tt0018217', 'tt0024216', 'tt0027075', 'tt0029850', 'tt0034862', 'tt0036695', 'tt0037800', 'tt0038348', 'tt0038733', 'tt0040427', 'tt0040725', 'tt0041716', 'tt0043879', 'tt0054331', 'tt0059037', 'tt0071853', 'tt0074896', 'tt0075244', 'tt0080439', 'tt0083791', 'tt0099902', 'tt0110074', 'tt0114732', 'tt0115678', 'tt0118715', 'tt0276751', 'tt0338564', 'tt0436613', 'tt0449059', 'tt0468094', 'tt0804497', 'tt0887883', 'tt10147546', 'tt1019452', 'tt10196464', 'tt10638522', 'tt11651550', 'tt11700260', 'tt11905462', 'tt14641542', 'tt15073166', 'tt15427934', 'tt1683048', 'tt1860355', 'tt2042568', 'tt2077886', 'tt22010428', 'tt2246565', 'tt3062880', 'tt3498820', 'tt3518012', 'tt3674140', 'tt5278596', 'tt5311546', 'tt6412452', 'tt6450186', 'tt0019421', 'tt0044954', 'tt0056937', 'tt0063663', 'tt0066831', 'tt0084352', 'tt0100998', 'tt0270053', 'tt0289879', 'tt0291172', 'tt0303353', 'tt0373861', 'tt0388789', 'tt0765128', 'tt0893507', 'tt1223236', 'tt1278449', 'tt1361558', 'tt1667905', 'tt1675434', 'tt1843866', 'tt1921149', 'tt1999192', 'tt2073029', 'tt2125423', 'tt2179121', 'tt21848358', 'tt28362963', 'tt4573394', 'tt4736550', 'tt5255710', 'tt7214842', 'tt7440432', 'tt9056818', 'tt0015624', 'tt0024852', 'tt0055257', 'tt0070439', 'tt0081506', 'tt0095159', 'tt0101700', 'tt0109686', 'tt0112651', 'tt0112682', 'tt0115736', 'tt0210727', 'tt0234215', 'tt0317248', 'tt0331370', 'tt0340468', 'tt0369060', 'tt0393597', 'tt0477348', 'tt11729298', 'tt11790780', 'tt1403865', 'tt1434443', 'tt14966898', 'tt1663321', 'tt1683876', 'tt1787660', 'tt1821478', 'tt18555320', 'tt20114686', 'tt2177511', 'tt2400291', 'tt2737050', 'tt27542289', 'tt3416742', 'tt4364194', 'tt4935462', 'tt6710474', 'tt6794424', 'tt9351980', 'tt0011237', 'tt0014429', 'tt0015163', 'tt0018742', 'tt0034891', 'tt0078326', 'tt0084934', 'tt0104605', 'tt0107554', 'tt0116282', 'tt0163651', 'tt0308514', 'tt0364930', 'tt0379225', 'tt0387412', 'tt0827503', 'tt0986264', 'tt0990413', 'tt1010048', 'tt1038988', 'tt10701074', 'tt11015214', 'tt11095742', 'tt1232829', 'tt1286126', 'tt1787988', 'tt2294449', 'tt2545428', 'tt2762506', 'tt3311384', 'tt3510372', 'tt3970482', 'tt5278506', 'tt5302918', 'tt5728684', 'tt6386748', 'tt8923482', 'tt0017925', 'tt0021814', 'tt0026778', 'tt0029217', 'tt0030637', 'tt0037008', 'tt0038160', 'tt0040724', 'tt0043949', 'tt0045152', 'tt0055614', 'tt0056111', 'tt0059527', 'tt0076578', 'tt0089374', 'tt0107474', 'tt0108358', 'tt0109962', 'tt0110877', 'tt0129387', 'tt0188766', 'tt0354575', 'tt0443708', 'tt0456396', 'tt0478049', 'tt0492931', 'tt0811136', 'tt0969269', 'tt10855768', 'tt1186369', 'tt12888462', 'tt15036416', 'tt1559549', 'tt1570728', 'tt1584016', 'tt1727388', 'tt1839492', 'tt1841542', 'tt1934231', 'tt1942884', 'tt2397535', 'tt2741806', 'tt2920540', 'tt4154756', 'tt4169250', 'tt6510332', 'tt7832124', 'tt8618654', 'tt8655470', 'tt9617456', 'tt0014538', 'tt0023238', 'tt0031507', 'tt0031580', 'tt0034890', 'tt0044121', 'tt0066999', 'tt0085127', 'tt0086935', 'tt0087814', 'tt0093015', 'tt0093822', 'tt0101410', 'tt0111512', 'tt0117040', 'tt0190590', 'tt0291003', 'tt0486358', 'tt0839995', 'tt0913968', 'tt1014809', 'tt1236472', 'tt13842562', 'tt14731254', 'tt1629757', 'tt2170667', 'tt21836538', 'tt22444570', 'tt2333598', 'tt4154796', 'tt5278460', 'tt5727208', 'tt5963218', 'tt8399720', 'tt8443704', 'tt0018578', 'tt0023427', 'tt0031385', 'tt0036112', 'tt0039192', 'tt0040068', 'tt0043503', 'tt0049096', 'tt0060182', 'tt0073858', 'tt0100150', 'tt0106966', 'tt0116426', 'tt0117293', 'tt0117398', 'tt0200071', 'tt0257290', 'tt0440803', 'tt0464160', 'tt0466460', 'tt10233718', 'tt1077262', 'tt10895576', 'tt1222815', 'tt12567088', 'tt13131350', 'tt1447508', 'tt1827512', 'tt1920945', 'tt26446278', 'tt2714900', 'tt2906216', 'tt3316960', 'tt4846232', 'tt5541848', 'tt7286916', 'tt7689964', 'tt8923484', 'tt8991268', 'tt9098872', 'tt0014341', 'tt0015841', 'tt0029442', 'tt0029843', 'tt0036515', 'tt0043643', 'tt0049456', 'tt0078269', 'tt0086979', 'tt0090830', 'tt0102629', 'tt0106333', 'tt0111309', 'tt0249241', 'tt0305206', 'tt0488798', 'tt0995868', 'tt10098448', 'tt1029235', 'tt1166085', 'tt1227378', 'tt1316540', 'tt1558877', 'tt1621830', 'tt17592606', 'tt1840417', 'tt2028530', 'tt2969656', 'tt3302820', 'tt4562518', 'tt5598102', 'tt6739646', 'tt7220754', 'tt7998242', 'tt0032138', 'tt0133093', 'tt1613750', 'tt1932767', 'tt7775622', 'tt8737152']"
