,writer_count,number_of_movies,avg_rating
0,1,78,7.25
1,2,160,7.038124999999999
2,8,28,6.825
3,3,147,6.710204081632654
4,6,45,6.6822222222222205
5,4,86,6.640697674418607
6,7,31,6.554838709677419
7,5,63,6.514285714285714
8,9,12,6.508333333333333
9,10,21,6.4333333333333345
