,region,genre,number_of_movies,avg_rating
678,DE,Family,3415,5.885768667642754
679,FI,Music,1390,6.578705035971223
680,PK,Adventure,114,6.386842105263157
681,TW,Musical,239,6.602092050209205
682,IE,Family,282,6.2258865248226956
683,KZ,Animation,298,6.738926174496645
684,GT,Adventure,18,6.616666666666666
685,IT,News,34,7.523529411764706
686,GB,Biography,5220,6.84641762452107
687,CO,Sci-Fi,276,6.085507246376813
688,SG,Family,666,6.213813813813814
689,AL,Animation,133,6.742105263157894
690,MK,History,15,7.353333333333334
691,MY,Fantasy,152,6.128947368421053
692,DO,Sci-Fi,11,6.5
693,FI,Crime,6452,6.289956602603848
694,SUHH,Thriller,1876,6.124413646055438
695,FR,Sport,913,6.342935377875137
696,CZ,War,316,6.930379746835443
697,UZ,Biography,118,7.511864406779661
698,AR,Adult,28,5.417857142857143
699,CR,Fantasy,16,6.6125
700,ID,Music,161,6.8919254658385105
701,MD,Mystery,13,5.976923076923077
702,NG,Crime,34,5.949999999999999
703,KG,Action,8,6.5
704,CA,Crime,14774,6.130452145661297
705,EC,Adventure,2638,6.176952236542834
706,IE,Sport,136,6.8875
707,PE,Western,86,6.55
