,writer_count,number_of_movies,avg_rating
0,9,34,6.7941176470588225
1,11,13,6.792307692307692
2,7,117,6.735897435897435
3,10,20,6.615
4,6,279,6.563440860215053
5,8,63,6.511111111111112
6,1,5479,6.5070450812192
7,3,2982,6.505298457411129
8,5,688,6.503779069767441
9,4,1464,6.502390710382514
10,2,5326,6.473995493803978
