,primaryName,avg_rating
195,Leni Riefenstahl,7.4
196,Juan Carlos Tabío,7.4
197,Rémy Belvaux,7.4
198,Patrice Chéreau,7.4
199,Sergio Sollima,7.4
200,Ravi Chopra,7.4
201,Bob Rafelson,7.4
202,Brad McGann,7.4
203,Stanislav Govorukhin,7.4
204,Daryl Duke,7.4
205,Guy Hamilton,7.3999999999999995
206,Robert Altman,7.390909090909091
207,Jean-Marc Vallée,7.383333333333333
208,Mike Nichols,7.371428571428572
209,Kim Ki-duk,7.366666666666666
210,Sydney Pollack,7.360000000000001
211,Jacques Rivette,7.35
212,Tobe Hooper,7.35
213,Bill Melendez,7.35
214,Bertrand Tavernier,7.35
215,Édouard Molinaro,7.35
216,Nicolas Roeg,7.35
217,Joseph Sargent,7.35
218,Vincent Sherman,7.35
219,Tony Scott,7.342857142857142
220,Wes Craven,7.333333333333333
221,René Laloux,7.333333333333333
222,Claude Chabrol,7.325
223,Herbert Ross,7.32
224,Joel Schumacher,7.32
225,Blake Edwards,7.318181818181818
226,Bill Paxton,7.300000000000001
227,Anthony Minghella,7.300000000000001
228,Robert Allen,7.3
229,Leonard Nimoy,7.3
230,Lionel Jeffries,7.3
231,Scott Kalvert,7.3
232,Srdjan Koljevic,7.3
233,José Giovanni,7.3
234,Vittorio Taviani,7.3
235,Paolo Taviani,7.3
236,Arthur Rankin Jr.,7.3
237,Jules Bass,7.3
238,Vera Chytilová,7.3
239,Ted Demme,7.3
240,Andrzej Zulawski,7.3
241,Wolf Rilla,7.3
242,George Butler,7.3
243,Dan O'Bannon,7.3
244,Eiichi Yamamoto,7.3
245,Nobuhiko Ôbayashi,7.3
246,Norman Wright,7.3
247,Marcello Fondato,7.3
248,Arthur Davis,7.3
249,Neeraj Vora,7.3
250,Franco Zeffirelli,7.3
251,Marc Rocco,7.3
252,François Dupeyron,7.3
253,David Swift,7.266666666666667
254,Ken Annakin,7.266666666666667
255,Budd Boetticher,7.266666666666667
256,John Schlesinger,7.266666666666666
257,Gene Saks,7.266666666666666
258,Michael Apted,7.25
259,Satish Kaushik,7.25
260,Kelly Asbury,7.25
261,Paul Mazursky,7.25
262,Pradeep Sarkar,7.25
263,Richard Fleischer,7.244444444444444
264,Ronald Neame,7.242857142857143
265,Joe Ranft,7.2
266,Richard C. Sarafian,7.2
267,Val Guest,7.2
268,Monte Hellman,7.2
269,Karel Reisz,7.2
270,Alan Rafkin,7.2
271,Art Stevens,7.2
272,Terence Davies,7.2
273,Lewis Allen,7.2
274,Michael Glawogger,7.2
275,Georgiy Kropachyov,7.2
276,Ted Berman,7.2
277,Shôichi Masuo,7.2
278,Robert Towne,7.2
279,Narciso Ibáñez Serrador,7.2
280,Jun Ichikawa,7.2
281,Stephen Hillenburg,7.2
282,Tom McGowan,7.2
283,Dennis Hopper,7.2
284,George Miller,7.2
285,Milton Katselas,7.2
286,Stuart Gordon,7.2
287,Tonino Valerii,7.199999999999999
288,Andrew V. McLaglen,7.199999999999999
289,Jean-Jacques Beineix,7.199999999999999
290,Enzo Barboni,7.18
291,Arthur Hiller,7.175
292,Mike Hodges,7.15
293,Brian Gibson,7.15
294,Michael Ritchie,7.15
295,Seijun Suzuki,7.15
296,George Sidney,7.15
297,Roger Michell,7.15
298,Morgan Spurlock,7.15
299,John Guillermin,7.133333333333333
300,Lewis Gilbert,7.12
301,Maurice Pialat,7.1
302,Laurent Tirard,7.1
303,Ted Post,7.1
304,Lewis John Carlino,7.1
305,Jacques Deray,7.1
306,Carl Reiner,7.1
307,Marlon Brando,7.1
308,Melville Shavelson,7.1
309,Claudio Caligari,7.1
310,Antonia Bird,7.1
311,Juan Pablo Rebella,7.1
312,Nagisa Ôshima,7.1
313,Hugh Hudson,7.1
314,Corey Yuen,7.1
315,Burny Mattinson,7.1
316,Dave Michener,7.1
317,Pino Van Lamsweerde,7.1
318,William T. Hurtz,7.1
319,Masanori Hata,7.1
320,Toyoo Ashida,7.05
321,Philippe de Broca,7.05
322,Garry Marshall,7.05
323,Douglas McGrath,7.05
324,Damiano Damiani,7.0
325,Leonard Kastle,7.0
326,Danny Leiner,7.0
327,John Flynn,7.0
328,Ringo Lam,7.0
329,Richard Rush,7.0
330,Cheh Chang,7.0
331,Gareth Carrivick,7.0
332,William Hanna,7.0
333,Joseph Barbera,7.0
334,Nathan Juran,7.0
335,Michael Winner,7.0
336,Nicolas Gessner,7.0
337,Ward Kimball,7.0
338,Giulio Petroni,7.0
339,Nora Ephron,7.0
340,Robert Fuest,7.0
341,André De Toth,7.0
342,Ken Hughes,7.0
343,Adrienne Shelly,7.0
344,Jaromil Jires,7.0
345,Kemal Uzun,7.0
346,Hal Needham,7.0
347,Roger Corman,7.0
